36.0
         127901 function calls (126409 primitive calls) in 0.215 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 abstract.py:34(_TypeMetaclass)
        1    0.000    0.000    0.000    0.000 abstract.py:345(ArrayCompatible)
      190    0.000    0.000    0.001    0.000 abstract.py:42(_intern)
  190/187    0.000    0.000    0.001    0.000 abstract.py:54(__call__)
        1    0.000    0.000    0.000    0.000 abstract.py:74(Type)
      190    0.000    0.000    0.000    0.000 abstract.py:85(__init__)
    17586    0.001    0.000    0.001    0.000 abstract.py:88(key)
        1    0.000    0.000    0.039    0.039 add_newdocs.py:10(<module>)
        2    0.000    0.000    0.006    0.003 analysis.py:3(<module>)
        1    0.000    0.000    0.000    0.000 appdirs.py:365(AppDirs)
        1    0.001    0.001    0.012    0.012 appdirs.py:9(<module>)
        1    0.000    0.000    0.001    0.001 array_exprs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 array_exprs.py:19(RewriteArrayExprs)
        1    0.001    0.001    0.008    0.008 arrayobj.py:4(<module>)
        1    0.000    0.000    0.000    0.000 arrayobj.py:532(Indexer)
        1    0.000    0.000    0.000    0.000 arrayobj.py:582(EntireIndexer)
        1    0.000    0.000    0.000    0.000 arrayobj.py:632(IntegerIndexer)
        1    0.000    0.000    0.000    0.000 arrayobj.py:663(IntegerArrayIndexer)
        1    0.000    0.000    0.000    0.000 arrayobj.py:721(BooleanArrayIndexer)
        1    0.000    0.000    0.000    0.000 arrayobj.py:800(SliceIndexer)
        1    0.000    0.000    0.000    0.000 arrayobj.py:869(FancyIndexer)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:528(FloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:634(IntegerFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:654(LongFloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:684(LongComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:695(ComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:712(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:733(TimedeltaFormat)
        1    0.000    0.000    0.000    0.000 arraysetops.py:26(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:20(Arrayterator)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:217(NodeVisitor)
        1    0.000    0.000    0.000    0.000 ast.py:254(NodeTransformer)
        1    0.000    0.000    0.000    0.000 ast.py:27(<module>)
        5    0.000    0.000    0.000    0.000 atexit.py:37(register)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        2    0.004    0.002    0.019    0.010 base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:1027(_wrap_impl)
        1    0.000    0.000    0.000    0.000 base.py:176(BaseContext)
        1    0.000    0.000    0.000    0.000 base.py:220(ConstructorTemplate)
        1    0.000    0.000    0.000    0.000 base.py:23(InstanceModel)
        1    0.000    0.000    0.000    0.000 base.py:253(ClassBuilder)
        1    0.000    0.000    0.000    0.000 base.py:303(ClassAttribute)
        1    0.000    0.000    0.000    0.000 base.py:32(OverloadSelector)
        1    0.000    0.000    0.000    0.000 base.py:38(InstanceDataModel)
        1    0.000    0.000    0.000    0.000 base.py:78(JitClassType)
        1    0.000    0.000    0.000    0.000 boxing.py:4(<module>)
        1    0.001    0.001    0.002    0.002 builder.py:1(<module>)
       18    0.000    0.000    0.000    0.000 builder.py:18(_binop)
       18    0.000    0.000    0.000    0.000 builder.py:19(wrap)
        6    0.000    0.000    0.000    0.000 builder.py:34(_binop_with_overflow)
        6    0.000    0.000    0.000    0.000 builder.py:35(wrap)
       13    0.000    0.000    0.000    0.000 builder.py:72(_castop)
       13    0.000    0.000    0.000    0.000 builder.py:73(wrap)
        1    0.000    0.000    0.000    0.000 builder.py:87(IRBuilder)
        1    0.000    0.000    0.000    0.000 builtins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bytecode.py:156(ByteCodeIter)
        1    0.000    0.000    0.000    0.000 bytecode.py:182(ByteCode)
        1    0.000    0.000    0.000    0.000 bytecode.py:280(FunctionIdentity)
        1    0.000    0.000    0.000    0.000 bytecode.py:38(_as_opcodes)
        1    0.000    0.000    0.000    0.000 bytecode.py:4(<module>)
        1    0.000    0.000    0.000    0.000 bytecode.py:55(ByteCodeInst)
        1    0.000    0.000    0.000    0.000 caching.py:113(_CacheLocator)
        1    0.000    0.000    0.000    0.000 caching.py:158(_SourceFileBackedLocatorMixin)
        1    0.000    0.000    0.000    0.000 caching.py:187(_UserProvidedCacheLocator)
        1    0.000    0.000    0.000    0.000 caching.py:210(_InTreeCacheLocator)
        1    0.000    0.000    0.000    0.000 caching.py:225(_UserWideCacheLocator)
        1    0.000    0.000    0.000    0.000 caching.py:249(_IPythonCacheLocator)
        1    0.000    0.000    0.013    0.013 caching.py:3(<module>)
        1    0.000    0.000    0.000    0.000 caching.py:301(_CacheImpl)
        1    0.000    0.000    0.000    0.000 caching.py:371(CompileResultCacheImpl)
        1    0.000    0.000    0.000    0.000 caching.py:409(CodeLibraryCacheImpl)
        1    0.000    0.000    0.000    0.000 caching.py:440(IndexDataCacheFile)
        1    0.000    0.000    0.000    0.000 caching.py:50(_Cache)
        1    0.000    0.000    0.000    0.000 caching.py:567(Cache)
        1    0.000    0.000    0.000    0.000 caching.py:679(FunctionCache)
        1    0.000    0.000    0.000    0.000 caching.py:690(make_library_cache)
